edad,hombre,estrato_energia,tipo_ocupacion,maximo_nivel_educativo,ocupado,nivel_educativo_alto,grado_escolar_aprobado,actividad_ultima_semana,cotizante,pet,llave_hogar,llave_persona,llave_vivienda,horas_trabajadas,ingreso_total,tamanio_firma,informal,chunk,chunk_origen,ans_educ,nivel_educ,exp_potencial,estrato_factor,ln_ingreso_total,edu_may_10,mujer
36,1,2,2,6,1,5,11,1,1,1,1,1,4514331,45,1620833.25,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,19,2,14.298450926826845,1,0
51,1,2,1,7,1,6,3,1,1,1,1,1,4514333,48,1378973.375,3,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,12.5,terciaria,32.5,2,14.136849849119868,1,0
45,1,2,1,4,1,3,5,1,1,1,1,1,4514334,56,883357,2,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,5,primaria,34,2,13.691484701388214,0,0
61,1,2,1,3,1,3,3,1,2,1,1,1,4514335,40,700000,4,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,3,primaria,52,2,13.458835614025542,0,0
35,0,2,2,7,1,6,5,6,1,1,1,2,4514338,48,1941500.125,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,13.5,terciaria,15.5,2,14.478971492537067,1,1
35,0,2,1,6,1,5,11,1,1,1,1,1,4514339,40,1083000,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,18,2,13.895245525983128,1,1
39,1,2,1,7,1,6,7,4,1,1,1,2,4514339,44,1616333.375,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,14.5,terciaria,18.5,2,14.29567079319789,1,0
29,1,2,4,7,1,6,2,4,2,1,1,2,4514342,40,1000000,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,12,terciaria,11,2,13.815510557964274,1,0
29,1,2,1,6,1,5,11,4,1,1,1,1,4514343,54,779000,2,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,12,2,13.565766324852886,1,0
44,0,2,4,5,1,4,8,6,2,1,1,2,4514344,42,300000,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,8,secundaria,30,2,12.611537753638338,0,1
56,0,2,1,4,1,3,5,1,1,1,1,1,4514348,48,820857,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,5,primaria,45,2,13.618104195431933,0,1
23,1,2,1,7,1,6,4,1,1,1,1,3,4514349,40,882333.4375,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,13,terciaria,4,2,13.6903253105993,1,0
30,1,2,1,6,1,5,11,1,1,1,1,2,4514349,54,949806.6875,3,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,13,2,13.764013756028362,1,0
50,0,2,4,7,1,6,2,1,2,1,1,1,4514350,48,600000,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,12,terciaria,32,2,13.304684934198283,1,1
28,1,2,1,7,1,6,2,1,1,1,1,2,4514350,48,949806.6875,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,12,terciaria,10,2,13.764013756028362,1,0
54,0,2,4,5,1,4,8,1,2,1,1,1,4514351,66,1500000,2,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,8,secundaria,40,2,14.22097566607244,0,1
36,1,2,1,6,1,5,11,4,2,1,1,2,4514352,16,300000,2,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,19,2,12.611537753638338,1,0
53,0,2,4,5,1,4,8,4,2,1,1,1,4514353,40,60000,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,8,secundaria,39,2,11.002099841204238,0,1
33,0,2,1,7,1,6,3,1,1,1,1,2,4514354,48,1591500,3,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,12.5,terciaria,14.5,2,14.280187525704285,1,1
